City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Le Moule,GP,16.33,-61.35,84.2,79,9,6.93,thunderstorm
340,Okakarara,NA,-20.58,17.43,66.31,24,0,8.93,clear sky
341,Pisco,PE,-13.7,-76.22,66.2,72,0,19.46,dust
342,Manzhouli,CN,49.6,117.43,50.61,86,0,4.68,clear sky
343,Coihaique,CL,-45.58,-72.07,48.2,57,75,6.93,broken clouds
344,Abatskoye,RU,56.29,70.46,53.35,89,100,23.67,light rain
345,Geraldton,AU,-28.77,114.6,50.0,93,40,9.17,scattered clouds
346,Alcantara,BR,-2.41,-44.41,86.0,70,75,13.87,broken clouds
347,Dwarka,IN,22.24,68.97,81.27,77,65,6.93,broken clouds
348,Chicaman,GT,15.4,-90.77,77.25,48,99,5.5,overcast clouds
349,Sijunjung,ID,-0.69,100.95,73.49,89,100,1.41,overcast clouds
350,Denpasar,ID,-8.65,115.22,78.8,100,20,13.87,few clouds
351,Nova Olimpia,BR,-14.8,-57.29,102.22,13,5,5.97,clear sky
352,Walvis Bay,NA,-22.96,14.51,59.0,51,0,9.17,clear sky
353,Rohnert Park,US,38.34,-122.7,66.99,82,90,4.7,overcast clouds
354,Troitskoye,RU,52.98,84.68,65.53,70,95,8.97,overcast clouds
355,Svetlyy,RU,54.67,20.13,62.6,93,75,6.71,broken clouds
356,Vilyuysk,RU,63.76,121.62,55.78,60,100,8.99,overcast clouds
357,Lora Del Rio,ES,37.66,-5.53,89.6,18,0,2.24,clear sky
358,Seabra,BR,-12.42,-41.77,76.82,46,10,13.96,clear sky
359,Tengzhou,CN,35.08,117.15,63.12,68,0,5.41,clear sky
